,time,text
0,8.31pm,"Evening all! Sports Mole's live Copa del Rey coverage continues from Alicante as Hercules welcome the holders Barcelona for the first leg of their last-32 clash. It is a big ask for Hercules tonight, but they recorded a 2-0 victory over Barcelona during the 2010-11 La Liga season and will be confident of making this an uncomfortable night for the Spanish champions. Be sure to stick with us for the action!"
1,8.33pm,"It was experienced Paraguay forward Nelson Valdez that struck twice for Hercules during their 2-0 victory away to Barcelona in September 2010 to help the Alicante-based team pull off one of the biggest shocks in Spain's top flight. Times have changed since then, however, with Hercules now playing their football in the Segunda B Division and Barcelona still flying high at the top of the Spanish game."
2,8.35pm,"Right, before we go any further, let me bring you up-to-speed with the all-important team news for this match. Barcelona have the small matter of El Clasico this weekend so I am expecting sweeping changes for a game that the Catalan giants will expect to win whatever team is sent out. Let's have a look..."
3,8.38pm,"TEAMS:HERCULES: Buigues; Dalmau, Pena, Roman, Rojas; Pedro, Gaspar, Omgba; Mainz, Juanma, SalinasBARCA: Cillessen; Vidal, Borja, Umtiti, Digne; Denis, Alena, Rafinha; Carbonell, Alcacer, Turan"
4,8.41pm,"Hercules' leading scorer this season - Chechu Flores - is only on the bench for the home side tonight, but David Mainz and Alvaro Salinas both start in what is an attacking team. Cameroonian midfielder Emmanuel Omgba is also included in the XI, while 20-year-old goalkeeper Ivan Buigues is given the nod between the sticks ahead of regular number one Chema Gonzalez."
5,8.44pm,"As for Barcelona, as expected, Luis Enrique has completely shuffled his pack. There are first-team debuts for Borja Lopez, Carlos Alena and Alex Carbonell, while Aleix Vidal is given a rare chance at right-back after struggling for football this season. Jasper Cillessen replaces Marc-Andre ter Stegen between the sticks and Paco Alcacer is given Luis Suarez's spot through the middle.© Getty Images"
6,8.46pm,"So there we have it. The two teams are in and we are now just about 15 minutes from kickoff in Alicante. This is actually Hercules' best run in the Copa del Rey since the 2010-11 season, which was the last time that they competed in the top flight of Spanish football. They dropped to the Segunda in 2011 and have since fallen to the third tier after another relegation in the 2013-14 season."
7,8.48pm,"Hercules have finished fourth and third respectively in each of their last two Segunda B seasons, and despite losing their last two in the league, they currently sit sixth in the table, just three points off third-place Valencia II. In truth, progressing past this stage of the Copa del Rey will be very tough and their focus has to be on gaining promotion to the second tier once again."
8,8.51pm,"As for Barcelona, in relative terms, the Catalan outfit are also going through a difficult little period. Indeed, back-to-back league draws has seen Luis Enrique's side drop off the pace at the summit and they will enter this weekend's home game with Real Madrid six points behind their Clasico rivals in the table. If that becomes nine on Saturday afternoon, it would be a real disaster.© SilverHub"
9,8.54pm,"That said, the Spanish champions breezed through their Champions League group once again and victory over Real Madrid this weekend would make things rosy once again. They struggled to a 1-1 draw with Real Sociedad in the league on Sunday night, but this is a different XI and there are a number of players with a point to prove ahead of a busy run of matches. Not long until kickoff now!"
10,8.57pm,"Victory over Sevilla in the 2015-16 Copa del Rey final handed Barcelona their 28th trophy in this competition, while they also won the 2014-15 final after beating Athletic Bilbao. There is just something about the Catalan outfit in this competition and they will fancy their chances of making a fourth straight final. Right, both sets of players have now joined us on the field in Alicante."
11,0 min,KICKOFF! Hercules kick things off in Alicante...
12,2 min,"... not quite a full house inside the stadium, but there is a good atmosphere and Barcelona might have to play very well to win this match. Yes, they are the big favourites. But Hercules are a tidy outfit and certainly have the players to harm the Spanish champions. Here's to a good match-up."
13,4 min,"Alena in the Barcelona midfield has drawn comparisons to a certain Andres Iniesta and the teenager has been given the chance to impress tonight. As expected, Barcelona have had the majority of the ball in the opening four minutes as they look to find space in dangerous positions."
14,6 min,"It is a 4-2-3-1 formation for the home side, with Mainz leading the line, and Salinas and Gaspar operating in the wide positions. Still Barcelona pass, pass, pass in the final third, but Hercules are organised in a defensive area and have already had a couple of chances to counter-attack here."
15,8 min,"Not an awful lot to report in terms of chances in the early stages of this match, with Hercules making it difficult for Barcelona to play their quick, incisive football in the final third."
16,10 min,Barcelona have a free kick in a dangerous area as Rojas brings Alcacer to the deck...
17,11 min,"... SAVE! Super stop from the Hercules goalkeeper to keep out the deflected free kick from Alcacer, which was heading for the bottom corner. First real chance of this game."
18,14 min,"Good pressure from Barcelona in the last few minutes as they continue to threaten the Hercules box and for the moment, the home side cannot seem to clear their lines. Still 0-0 though."
19,16 min,"Just a reminder that unlike Real Madrid's clash earlier, this is the first leg of this last-32 clash and therefore nothing will be decided tonight. Hercules will want to keep Barcelona honest ahead of the return at Camp Nou next month. For the moment, the Segunda B side are keeping a clean sheet."
