,time,text
0,6.46pm,Evening all! Sports Mole's live Champions League coverage continues from Scotland as Scottish champions Celtic welcome the Spanish champions Barcelona in Group C. The atmosphere has been building throughout the afternoon and there is sure to be some serious noise inside Celtic Park when the match kicks off in just under one hour. Be sure to stick with us for what should be an enthralling night!
1,6.49pm,"Tonight will be the 10th time that these two teams have clashed in the Champions League. Barcelona have won seven of the previous nine, although Celtic's only victory did come in this stadium in November 2012, when they incredibly won 2-1 despite having just 15% of the possession. That was some night in Glasgow and the hosts will be looking for a repeat in November 2016."
2,6.52pm,"Celtic were thumped 7-0 when they travelled to Barcelona in September, however, with Lionel Messi hitting a hat-trick in a match where Moussa Dembele missed a penalty for the visitors. It was a tough game for Celtic, but they always, always fancy their chances in this special stadium.© SilverHub"
3,6.55pm,"Right, without further ado, let me bring you up-to-speed with the all-important team news from Celtic Park. Both teams were in league action at the weekend – Celtic winning 1-0 at Kilmarnock and Barcelona drawing 0-0 at home to Malaga. These are the two XIs that will take to the field tonight..."
4,6.58pm,"TEAMS!CELTIC: Gordon; Lustig, Simunovic, Sviatchenko, Izaguirre; Sinclair, Brown, Armstrong, McGregor, Rogic; DembeleFCB: Ter Stegen; Roberto, Pique, Mascherano, Alba; Busquets, Gomes, Rakitic; Neymar, Suarez, Messi"
5,7.02pm,"Celtic boss Brendan Rodgers has made three changes from the team that beat Kilmarnock in the league at the weekend, with Jozo Simunovic, Tom Rogic and Emilio Izaguirre taking the places of Dedryck Boyata, Patrick Roberts and James Forrest. Meanwhile, in-demand Moussa Dembele, who has scored 14 times for Celtic this season, continues in the final third with support from Scott Sinclair."
6,7.05pm,"As for Barcelona, Lionel Messi returns to the XI after sitting out the goalless draw with Malaga at the weekend. Luis Suarez also returns from a domestic suspension to start in the final third, while Andre Gomes is selected in midfield alongside Sergio Busquets and Ivan Rakitic. Jordi Alba also returns to the left side of the defence after overcoming a hamstring problem. Aside from Andres Iniesta, who remains on the sidelines, it is arguably Barcelona's strongest XI. Luis Enrique is taking no chances tonight.© SilverHub"
7,7.08pm,"So there we have it. The two teams are in and we are now just about 40 minutes from kickoff here. Right, before we run through the facts and figures, let's discuss how things stand in Group C with two matches left to play. Barcelona sit top on nine points, with Manchester City second with seven points - three points above third-place Borussia Monchengladbach, who lead bottom club Celtic by two points."
8,7.12pm,"A win over Celtic would guarantee Barcelona's place in the round of 16, but they would go through regardless of their result if Monchengladbach fail to beat Man City. As for Pep Guardiola's side, a point away to Gladbach tonight would be enough to advance into the next round, but they may well have to win both of their remaining games in order to beat Barcelona to top spot in the section."
9,7.15pm,"After opening with a 7-0 victory over Celtic, Barcelona won 2-1 against Gladbach in Germany to move onto six points in the section. They then thumped Man City 4-0 at Camp Nou, but lost 3-1 in the reverse game at the Etihad earlier this month. As mentioned, three points tonight would see them make the round of 16 ahead of their final group match at home to Gladbach on December 6.© SilverHub"
10,7.18pm,"Barcelona, who have triumphed in 21 of their 27 Champions League games under Luis Enrique, have won the European Cup in four of the last 11 seasons. No other team has won it more than twice during the same period, while the Catalan giants have reached at least the semi-finals of the competition in seven of the last nine campaigns, which is a stunning record at this level of football."
11,7.22pm,"It is not all plain-sailing in La Liga at the moment, however, with Barcelona entering this match off the back of a 0-0 draw at home to Malaga at the weekend. That result has left them four points behind leaders Real Madrid ahead of a difficult trip to Real Sociedad, who have won their last four games, this weekend. Then comes the small matter of the first Clasico of the season on December 3."
12,7.25pm,"🍀 Look who it is! Stan the man! 👍 #UCL #CELFCB #COYBIG pic.twitter.com/FpExsNouzt— Celtic Football Club (@celticfc) November 23, 2016 "
13,7.28pm,"As for Celtic, they need to beat Barcelona and Man City in their final two group matches to stand a chance of qualifying for the round of 16. They are actually only two points off third-place Gladbach, however, and it does appear that those two teams will battle for a spot in the next round of the Europa League. A win for the hosts tonight could see them take control of third position in the section."
14,7.32pm,"Celtic recovered from that 7-0 mauling at Barcelona by sharing the points in a 3-3 draw with Man City on September 28. A 2-0 home defeat to Gladbach, which was very damaging, followed, but they managed to draw 1-1 away to Gladbach last time out. Worryingly, Celtic have conceded 13 times in their four Group C matches to date and they face Messi, Neymar and Suarez tonight."
15,7.35pm,"In terms of the Scottish Premiership, it has been all too easy for Celtic this season. The champions have won 11 of their 12 fixtures to date and currently sit 10 points clear of second-place Aberdeen with a game in hand. To be blunt, Rodgers's side are far too good for the rest of the division."
