,time,text
0,1.16pm,Afternoon all! Sports Mole's live La Liga coverage continues from Camp Nou and it is quite a special one as Barcelona welcome Real Madrid for the first Clasico of the season. Six points currently separate these two teams in Spain's top flight and victory for Real Madrid would see them open up a very healthy advantage ahead of the winter break in Spain. It should be an absolute cracker from Spain!
1,1.19pm,"Kickoff at Camp Nou is not actually for another two hours (3.15pm UK time), but be sure to stick with me for all of the build-up and indeed the team news, which is expected to land around the 2.15pm mark. Both of these teams were in Copa del Rey action during the week, but sweeping changes are expected. Cristiano Ronaldo and Lionel Messi will once again lock horns here."
2,1.22pm,"Matches between these two teams are always important, they always mean something. But you just get the feeling that this is one of the biggest in recent seasons. We are now in December and this cannot be considered early in the season. Victory for Real Madrid would see them take a nine-point lead over their rivals in La Liga, which would be some advantage at this stage of the campaign."
3,1.25pm,"In England, a nine-point lead can evaporate very quickly indeed, but it would be difficult to see Real Madrid throwing away that advantage, especially when considering that they have still not lost in the league this season. Zinedine Zidane's side have not always been great this term, but they have managed to grind out wins and that has not been the case for Barcelona in recent weeks.© Getty Images"
4,1.28pm,"H2H! This afternoon will be the 232nd meeting between the two rivals in all competitions. Real Madrid have won 93 of those matches to Barcelona's 90, while the remaining 48 have finished all square. In La Liga, Real Madrid also lead the head-to-head 72 wins to Barcelona's 68, but home advantage is absolutely massive when dissecting the statistics between these two Clasico rivals."
5,1.32pm,"Indeed, Real Madrid have 52 home wins in this fixture and Barcelona 49. Away from home, Real Madrid have only won 20 to Barcelona's 19. Real Madrid have also scored the most goals in this fixture – 390 to Barcelona's 376. Real Madrid are ahead in almost every area, but there is not much in it."
6,1.35pm,"The last four El Clasicos have actually all taken place in the league and both teams have won twice. Indeed, both won their home match during the 2014-15 campaign, but incredibly, both won the away match last season. Barcelona were 4-0 winners when they travelled to the Bernabeu in November 2015, but Real Madrid recorded a 2-1 victory when they travelled to Camp Nou last season.© AFP"
7,1.38pm,"Real Madrid might have the better record in this fixture, but they have not lifted the Spanish title since 2012, with Barcelona and Atletico Madrid sharing the crown since then. It is just not good enough for a team of Real Madrid's ilk, but there is a general feeling that this could be their year. If the opening 13 matches of the 2016-17 campaign are anything to go by, then that might well be the case."
8,1.42pm,"Indeed, we are 13 games into the 2016-17 La Liga season and Real Madrid lead the way on 33 points, having recorded 10 wins and three draws. They have also scored the most goals – 36 – and have the second-best defensive record of just 11 goals conceded behind sixth-place Villarreal."
9,1.45pm,"Barcelona entered the weekend in second position in La Liga and they are going to stay there as Sevilla are currently losing 2-0 at Granada in the very latter stages of that match. From 13 league matches, Barcelona have recorded eight wins, three draws and two defeats. They have scored 33 times and conceded 14, leaving them with a goal difference of plus 19 at this stage of the season.© SilverHub"
10,1.48pm,"Sevilla are really impressing this season under new boss Jorge Sampaoli, while a change of management for Villarreal has not curtailed their progress. Real Sociedad are also enjoying a fine campaign and dominated Barcelona in Sunday's 1-1 draw at the Anoeta. Those two teams will hope to challenge for the top four, but it remains to be seen whether Atletico Madrid can challenge for the title."
11,1.52pm,"Indeed, Atletico currently sit nine points behind Real Madrid at the summit, with Diego Simeone's side already suffering three league defeats this season. It would take some response to cut that back, especially if Real Madrid win this match, and it does appear that the big two in Spain will battle once again. That said, Sevilla are going along nicely indeed at the moment despite today's defeat."
12,1.55pm,"Right, let's take a closer look at how each team has performed this season. Barcelona won the Spanish Super Cup at the start of the season with a 5-0 aggregate victory over Sevilla, before beating Real Betis and Athletic Bilbao in their first two league matches to make it a strong start to the campaign.📍 Camp Nou #fcblive #ForçaBarça #ElClasico pic.twitter.com/EarA2zBliK— FC Barcelona (@FCBarcelona) December 3, 2016 "
13,1.58pm,"The Catalan outfit incredibly lost 2-1 at home to tiny Alaves in the league on September 10, but responded with a 7-0 win over Scottish champions Celtic to start their Champions League campaign in style. A 5-1 win over Leganes saw Enrique's side bounce back from the Alaves defeat in the league, before the points were shared in a 1-1 draw with Atletico Madrid at the Camp Nou on September 21."
14,2.02pm,"Wins over Sporting Gijon and Borussia Monchengladbach followed the Atletico draw, but Barcelona's second league defeat of the season came away at Celta Vigo at the start of October. They then won their next four, however, including a 4-0 success over Manchester City in the Champions League and victories over Deportivo La Coruna, Valencia and Granada in Spain's top flight."
15,2.05pm,"A 3-1 defeat to Manchester City at the Etihad then occurred at the start of November, but they responded with a 2-1 victory over Sevilla in the league. The Spanish champions have been far from convincing in recent weeks, however, with a 2-0 win over Celtic in the Champions League, which was unconvincing in itself, either side of league draws against Malaga and Real Sociedad."
16,2.08pm,"🎥 @neymarjr arrives at Camp Nou with a Chapecoense shirt #ForçaChapecoense #ForçaBarça pic.twitter.com/4mQjznRLRF— FC Barcelona (@FCBarcelona) December 3, 2016 "
17,2.12pm,"Barcelona were extremely poor in Sunday's 1-1 draw with Sociedad and were indeed extremely fortunate to escape with a point. They were also in Copa del Rey action during the week – struggling to a 1-1 draw away to Hercules in the first leg of their last-32 clash. Right, the team news is just filtering through and it is a very interesting Real Madrid XI. Confirmed news is imminent here..."
18,2.15pm,"TEAMS!FCB: Ter Stegen; Roberto, Mascherano, Pique, Alba; Gomes, Busquets, Rakitic; Neymar, Suarez, MessiREAL: Navas; Carvajal, Ramos, Varane, Marcelo; Kovacic, Modric, Isco; Vasquez, Benzema, Ronaldo"
19,2.18pm,"It is the Barcelona XI that were expected to take to the field. Andres Iniesta is not risked from the start after only just recovering from injury, meaning that Andre Gomes continues in midfield alongside Sergio Busquets and Ivan Rakitic. Sergi Roberto continues at right-back, while it is Neymar, Luis Suarez and Lionel Messi in the final third. Luis Enrique has taken no risks in his selection!"
