,text,time,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,goal,score,won,win,lose,lost,draw,penalty,position,breakthrough,header,offside
0,Good evening and welcome to what should be an exciting La Liga encounter between Sevilla and Barcelona.,6.48pm,10,8,73.089857657,0.0,0.0,0.172310399274,0.0300107334426,0,0.118445,0,0,0,0,0,0,0,0,0,0
1,"Just under an hour from now, we will see if the Catalans can reduce Real Madrid's lead at the top of La Liga.",6.48pm,13,13,98.7990289172,0.172310399274,0.0,0.0571098881792,0.0284165726891,0,0.09375,0,0,0,0,0,0,0,0,0,0
2,"Sevilla have also made a wretched start to the defence of their Europa League crown, by putting themselves on the verge of reaching the Champions League knockout stages.",6.48pm,18,12,113.407346481,0.0571098881792,0.0300107334426,0.119542365913,0.0538565671795,0,0.132795,0,0,0,0,0,0,0,0,0,0
3,"OK, wretched maybe a strange choice of word, but the Andalusians have shown promising form both domestically and in Europe.",6.48pm,15,8,86.3307297292,0.119542365913,0.0284165726891,0.0230728863525,0.075934852067,0,0.115385,0,0,0,0,0,0,0,0,0,0
4,"Indeed, Spanish football writer Sid Lowe has suggested that Sevilla are, in his opinion, arguably favourites to win this evening, which is testament to how the Sevillistas are playing at the moment.",6.50pm,22,15,134.704711531,0.0230728863525,0.0538565671795,0.069124662605,0.0902745850405,0,0.10494,0,1,0,0,0,0,0,0,0,0
5,They have lost only once in the league this season.,6.50pm,4,7,38.1721574492,0.069124662605,0.075934852067,0.219787380575,0.0103379000936,0,0.079885,0,0,0,1,0,0,0,0,0,0
6,"That said, Barca have won their last three in the league and sat only two points off the top coming into this weekend (with Real Madrid beating Leganes, that deficit is now five).",6.51pm,22,16,137.503769477,0.219787380575,0.0902745850405,0.0102977160209,0.0495989089159,0,0.135245,1,0,0,0,0,0,0,0,0,0
7,Luis Enrique's side were left smarting after slumping to a 3-1 defeat at the Etihad Stadium on Tuesday.,6.51pm,13,7,69.4652848134,0.0102977160209,0.0103379000936,0.0146814897373,0.0361528056565,0,0.213845,0,0,0,0,0,0,0,0,0,0
8,"With further ado, let's bring you the team news from the Ramon Sanchez Pizjuan.",6.52pm,11,6,62.8950075542,0.0146814897373,0.0495989089159,0.0,0.0515636481172,0,0.182505,0,0,0,0,0,0,0,0,0,0
9,"SEVILLA XI: Rico, Mariano, Rami, Carrico, Escudero, N'Zonzi, Vazquez, Nasri, Sarabia, Vitolo, ViettoBARCELONA XI: Ter Stegen, Sergi Roberto, Mascherano, Umtiti, Digne, Denis Suarez, Busquets, Rakitic, Messi, Luis Suarez, Neymar",6.56pm,51,0,127.379290929,0.0,0.0361528056565,0.0,0.137565211207,0,0.11349,0,0,0,0,0,0,0,0,0,0
10,"So, a much changed lineup for the visitors, with Pique, Vidal, Alba, Mathieu and Iniesta all sidelined.",6.57pm,16,7,74.004257574,0.0,0.0515636481172,0.0088754907007,0.0545402669895,0,0.08163,0,0,0,0,0,0,0,0,0,0
11,"That said, the front three still reads Messi, Suarez, Neymar.",6.57pm,12,2,41.7342851977,0.0088754907007,0.137565211207,0.00916300084941,0.0265128368075,0,0.07317,0,0,0,0,0,0,0,0,0,0
12,"For Sevilla, Samir Nasri returns after being absent in midweek for the 4-0 win against Dinamo Zagreb.",6.59pm,12,7,69.3304364722,0.00916300084941,0.0545402669895,0.0196462784834,0.0735576181573,0,0.08451,0,1,0,0,0,0,0,0,0,0
13,The hosts are without the injured Nico Pareja.,6.59pm,6,3,33.2193741138,0.0196462784834,0.0265128368075,0.0,0.0446413478643,0,0.086055,0,0,0,0,0,0,0,0,0,0
14,Gabriel Mercado is suspended for this clash.,6.59pm,5,3,31.8863188649,0.0,0.0735576181573,0.0,0.0736764365156,0,0.033335,0,0,0,0,0,0,0,0,0,0
15,"As mentioned before, one Spanish football writer has suggested that Sevilla could be favourites to win and Barcelona coach Luis Enrique reckons that may be down to the Andalusians' home form.He told reporters: ""Sevilla has had a spectacular start to the season playing good football and they are very hard to beat at home.",7.02pm,36,23,214.028125085,0.0,0.0446413478643,0.099078896189,0.151316269148,0,0.12698,0,1,0,0,0,0,0,0,0,0
16,If they are in a strong league position it is because they deserve it and this will be a tough game against a difficult opponent.,7.02pm,9,17,92.0599005607,0.099078896189,0.0736764365156,0.241020715684,0.187732742615,0,0.089745,0,0,0,0,0,0,1,0,0,0
17,"""They are a club that has a high turnover of players and this year they also have a new manager but they are improving all the time.",7.02pm,12,17,97.1692019972,0.241020715684,0.151316269148,0.161791940855,0.0,0,0.1,0,0,0,0,0,0,0,0,0,0
18,"From what they have shown so far, Sevilla could be in with a chance of winning the league.",7.02pm,9,11,64.4043009664,0.161791940855,0.187732742615,0.0,0.0471810120067,0,0.1,0,1,0,0,0,0,0,0,0,0
19,"""© SilverHub",7.02pm,3,0,5.66814498515,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
20,Meanwhile his Sevilla counterpart Jorge Sampaoli has been keen to play down talk that tonight's opponents are in crisis.,7.05pm,13,8,84.2740729361,0.0,0.0471810120067,0.0649273281277,0.0126558285128,0,0.09628,0,0,0,0,0,0,0,0,0,0
21,"""They are one of the two or three best teams in the world and the quality they have, in addition to Messi, makes them practically unstoppable,"" the Chilean told reporters.",7.05pm,21,15,119.685321278,0.0649273281277,0.0,0.0372845580189,0.15812601178,0,0.161825,0,0,0,0,0,0,0,0,0,0
22,"""It would be very good for us to win – for our self-esteem and the belief it would give us.""",7.05pm,13,10,74.8023788978,0.0372845580189,0.0126558285128,0.0191560649633,0.0278581835111,0,0.07143,0,1,0,0,0,0,0,0,0,0
23,"While Sampaoli has paid tribute to the quality Barca already have, reports claim that the champions have their eye on snaffling one of Sevilla's star players - Steven N'Zonzi.",7.09pm,21,11,111.911637334,0.0191560649633,0.15812601178,0.043054836896,0.08612505319,0,0.133125,0,0,0,0,0,0,0,0,0,0
24,"So, if the rumours are true, we could see the former Stoke midfielder moving to the Camp Nou soon.",7.09pm,14,8,80.3113187351,0.043054836896,0.0278581835111,0.0541269839838,0.0480685246071,0,0.08621,0,0,0,0,0,0,0,0,0,0
25,"However, Samir Nasri is the one who has stole the headlines since his move from Manchester City in the summer.",7.12pm,13,9,81.8368486094,0.0541269839838,0.08612505319,0.0732123692229,0.0322180565732,0,0.091595,0,0,0,0,0,0,0,0,0,0
26,"The Frenchman was out of favour at the Etihad last season, but has had a lease of life under the guide ex-Chile boss Sampaoli.",7.12pm,13,13,89.3918898564,0.0732123692229,0.0480685246071,0.0593194567034,0.0170495913655,0,0.106535,0,0,0,0,0,0,0,0,0,0
27,"Trying to beat a Sevilla side who have won five out of five might be hard enough for most teams, but Enrique's side now have a five-point gap to make up on bitter rivals Real Madrid.",7.16pm,22,17,142.38337638,0.0593194567034,0.0322180565732,0.0210571072843,0.0975312320612,0,0.13968,1,0,0,0,0,0,0,0,0,0
28,Gareth Bale inspired the European champions to a 3-0 win over newly-promoted Leganes earlier today.,7.16pm,12,4,56.4309505551,0.0210571072843,0.0170495913655,0.00431365362468,0.0,0,0.061225,0,1,0,0,0,0,0,0,0,0
29,"However, while we have been looking at Sevilla's good form so far this season, their record against the Catalan giants is less than impressive.1 - Sevilla have won just one of their last 18 league games against Barcelona (D4 L13).",7.19pm,28,18,162.054794384,0.00431365362468,0.0975312320612,0.0,0.0,0,0.078945,1,0,0,0,0,0,0,0,0,0
30,Precedent.,7.19pm,2,0,5.66814498515,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
31,"pic.twitter.com/B8k61e8Swu— OptaJose (@OptaJose) November 6, 2016",7.19pm,10,0,19.4537041157,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
32,"To make things worse for the Andalusians, Lionel Messi has a knack of scoring against Sevilla.",7.24pm,11,7,60.2440932637,0.0,0.0,0.0921869688225,0.0,0,0.14083,0,0,0,0,0,0,0,0,0,0
33,"The Argentine has netted 26 times in this fixture, which is more than against any other club.",7.24pm,8,11,74.7530066744,0.0921869688225,0.0,0.0,0.0114718267156,0,0.061225,0,0,0,0,0,0,0,0,0,0
34,With Barca missing several players through injury.,7.28pm,6,2,34.3588949022,0.0,0.0,0.0724742250466,0.0,0,0.042555,0,0,0,0,0,0,0,0,0,0
