,text,time,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,goal,score,won,win,lose,lost,draw,penalty,position,breakthrough,header,offside
0,Evening all!,6.46pm,2,1,9.33057509208,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
1,"Sports Mole's live Champions League coverage continues from the Etihad Stadium as Manchester City welcome Barcelona in Group C. It is two weeks since the pair met at Camp Nou, when Barcelona recorded a 4-0 victory courtesy of a hat-trick from Lionel Messi and late Neymar strike.",6.46pm,36,14,166.742738677,0.0,0.0,0.0144450800763,0.0741054974904,0,0.27147,0,0,0,0,0,0,0,0,0,0
2,Can Man City gain some revenge tonight?,6.46pm,6,2,28.4036706057,0.0144450800763,0.0,0.0,0.0614237576442,0,0.067705,0,0,0,0,0,0,0,0,0,0
3,Be sure stick with us for minute-by-minute updates from Manchester!,6.46pm,7,4,37.4976946946,0.0,0.0741054974904,0.0399919581844,0.0580437513633,0,0.063825,0,0,0,0,0,0,0,0,0,0
4,Tonight will be the sixth time that these two sides have clashed in European competition and Barcelona have triumphed on each occasion.,6.49pm,12,11,88.1436243383,0.0399919581844,0.0614237576442,0.096364500546,0.0505913450372,0,0.133335,0,0,0,0,0,0,0,0,0,0
5,"Their first ever clash occurred in the round of 16 during the 2013-14 campaign and it was Barcelona that emerged 4-1 winners on aggregate, which included a 2-0 success in Manchester - Messi and Dani Alves scoring the goals for the Spanish side.",6.49pm,27,18,146.534446148,0.096364500546,0.0580437513633,0.159484588374,0.0780523274231,1,0.20306,0,1,0,0,0,0,0,0,0,0
6,They then locked horns in the quarter-finals of the 2014-15 campaign and Barcelona recorded a 2-1 victory in Manchester before winning 1-0 at home courtesy of a sole strike from Ivan Rakitic.,6.52pm,19,14,95.8812742444,0.159484588374,0.0505913450372,0.0254896576591,0.0257688326211,0,0.16073,0,1,0,0,0,0,0,0,0,0
7,It has been one-way traffic in his fixture and it promises to be another tough night for Man City as Pep Guardiola looks to get one over on his former club.,6.52pm,17,15,116.60955615,0.0254896576591,0.0780523274231,0.1368570736,0.0177711110953,0,0.12899,0,0,0,0,0,0,0,0,0,0
8,The atmosphere has been building over the last few hours!,6.52pm,5,6,41.1591734534,0.1368570736,0.0257688326211,0.0297457841301,0.0143771097894,0,0.0625,0,0,0,0,0,0,0,0,0,0
9,"Right, without further ado, let me bring you up-to-speed with the all-important team news from the Etihad.",6.55pm,13,7,63.9368093109,0.0297457841301,0.0177711110953,0.0207891461807,0.120397469057,0,0.09091,0,0,0,0,0,0,0,0,0,0
10,Both sides will enter this match off the back of league wins on Saturday – Man City beating West Bromwich Albion 4-0 and Barcelona winning 1-0 at home to Granada.,6.55pm,21,10,102.600193658,0.0207891461807,0.0143771097894,0.00862636586945,0.0100974550677,0,0.139285,0,1,0,0,0,0,0,0,0,0
11,Let's run through the two XIs...© SilverHub,6.55pm,8,2,29.672488155,0.00862636586945,0.120397469057,0.0,0.0198993099899,0,0.050845,0,0,0,0,0,0,0,0,0,0
12,"TEAMS!CITY: Caballero; Zabaleta, Stones, Otamendi, Kolarov; Gundogan, Fernandinho; Silva, De Bruyne, Sterling; AgueroFCB: Ter Stegen; Roberto, Mascherano, Umtiti, Digne; Busquets, Rakitic, Gomes; Neymar, Suarez, Messi",6.58pm,49,0,112.266786363,0.0,0.0100974550677,0.132273828641,0.0,0,0.08739,0,0,0,0,0,0,0,0,0,0
13,"Man City boss Guardiola has made three changes to the team that recorded a 4-0 win at West Brom on Saturday, with Willy Caballero, Pablo Zabaleta and Kevin de Bruyne taking the places of the suspended Claudio Bravo, Fernando and Nolito.",7.02pm,32,13,158.095507939,0.132273828641,0.0198993099899,0.0602216884441,0.0566419074651,0,0.20096,0,1,0,0,0,0,0,0,0,0
14,"Sergio Aguero was left on the bench for the reverse match against Barcelona, but the Argentine starts tonight in what looks to be a 4-2-3-1 formation.",7.02pm,15,13,87.458499472,0.0602216884441,0.0,0.0937978247864,0.0336915246499,0,0.42342,0,0,0,0,0,0,0,0,0,0
15,Club captain Vincent Kompany is once again named on the bench as John Stones and Nicolas Otamendi start at centre-back.,7.02pm,13,8,79.8250622821,0.0937978247864,0.0566419074651,0.0144341266226,0.0925320289523,0,0.12619,0,0,0,0,0,0,0,0,0,0
16,"Barcelona, meanwhile, are still without the services of key injured trio Gerard Pique, Jordi Alba and Andres Iniesta, who would have started in Luis Enrique's strongest team.",7.05pm,26,7,121.292855642,0.0144341266226,0.0336915246499,0.0247677616269,0.0401261698548,0,0.42967,0,0,0,0,0,0,0,0,0,0
17,"Lucas Digne and Sergi Roberto keep their spots at full-back, while Samuel Umtiti is selected alongside Javier Mascherano at the heart of the defence.",7.05pm,17,9,97.4427318626,0.0247677616269,0.0925320289523,0.0580366475784,0.0264981506119,0,0.110355,0,0,0,0,0,0,0,0,0,0
18,The only contentious call has come in midfield as Andre Gomes is preferred to the likes of Rafinha and Denis Suarez.,7.05pm,12,10,81.3544462676,0.0580366475784,0.0401261698548,0.0725044133126,0.0,0,0.15107,0,0,0,0,0,0,0,0,0,0
19,"Up top, Messi, Luis Suarez and Neymar all start for the Catalan giants.© SilverHub",7.05pm,11,5,49.4159584464,0.0725044133126,0.0264981506119,0.0,0.0249515149944,0,0.240265,0,0,0,0,0,0,0,0,0,0
20,So there we have it.,7.08pm,1,5,18.3881788322,0.0,0.0,0.0991057856365,0.0,0,0.02326,0,0,0,0,0,0,0,0,0,0
21,The two teams are in and we are now just about 40 minutes from kickoff on this mild evening in Manchester.,7.08pm,9,13,77.7166470435,0.0991057856365,0.0249515149944,0.0705576178161,0.0517743706551,0,0.09722,0,0,0,0,0,0,0,0,0,0
22,"I shall talk about Spanish champions Barcelona a little bit later, but let's start with Man City, who bounced back from a six-game winless run with a thumping 4-0 victory over West Brom at the weekend to ensure that they remained top of the Premier League table.",7.08pm,33,18,164.498854661,0.0705576178161,0.0,0.136137972513,0.129859810506,0,0.18473,0,1,0,0,0,0,0,0,0,0
23,"Guardiola's side actually won their first 10 competitive matches of the 2016-17 campaign, but after drawing 3-3 at Celtic in the Champions League on September 28, they had a bit of a wobble.",7.12pm,22,15,110.91741543,0.136137972513,0.0517743706551,0.177675434106,0.188428276928,0,0.18472,1,1,0,0,1,0,0,0,0,0
24,Their first defeat of the season occurred away at Tottenham Hotspur in the Premier League on October 2 and they failed to win any of the next four – including the 4-0 defeat to Barcelona at Camp Nou.© SilverHub,7.12pm,23,16,129.175863211,0.177675434106,0.129859810506,0.232529243371,0.106953034806,0,0.18846,0,1,0,0,0,0,0,0,0,0
25,"Man City were also knocked out of the League Cup last Wednesday after losing 1-0 at Manchester United, but as mentioned, they thumped West Brom 4-0 at the weekend to keep their spot at the top of the Premier League table.",7.15pm,27,17,147.430645014,0.232529243371,0.188428276928,0.0806266293908,0.203162733756,0,0.22126,0,0,0,0,0,0,0,0,0,0
26,"Tonight will be a good indicator of where this Man City team need to improve, especially considering Barcelona's four-goal victory in the reverse game last month.",7.15pm,20,9,91.6969411268,0.0806266293908,0.106953034806,0.0932302262672,0.0809666966033,1,0.14579,0,0,0,0,0,0,0,0,0,0
27,It is worth remembering that Man City actually reached the semi-finals of the Champions League last season before losing to Real Madrid.,7.18pm,15,8,75.1796618541,0.0932302262672,0.203162733756,0.126904919224,0.0574934582445,0,0.15726,0,0,0,0,0,0,0,0,0,0
28,"Indeed, that represented their best ever Champions League campaign and despite dropping points in two of their three group matches this season, Guardiola's team currently sit second in Group C ahead of German side Borussia Monchengladbach.",7.18pm,31,9,145.701693776,0.126904919224,0.0809666966033,0.0797226864594,0.221095326033,0,0.17098,0,0,0,0,0,0,0,0,0,0
