,text,time,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,goal,score,won,win,lose,lost,draw,penalty,position,breakthrough,header,offside
0,Evening all!,6.46pm,2,1,10.3222205171,0.0,0.0,0.0,0.0,0,0.01786,0,0,0,0,0,0,0,0,0,0
1,Sports Mole's live Champions League coverage continues from Camp Nou and it is a very special match as Pep Guardiola brings his Manchester City team to Barcelona in Group C. Tonight is so much more than just a football match due to the emotions involved.,6.46pm,29,18,172.554866552,0.0,0.0,0.0842057985493,0.0956854668566,0,0.248475,0,0,0,0,0,0,0,0,0,0
2,Can Guardiola upset his former club here?,6.46pm,5,3,32.4285350544,0.0842057985493,0.0,0.0,0.0,0,0.029415,0,0,0,0,0,0,0,0,0,0
3,Let's hope for a pulsating night of Champions League action from Spain!,6.46pm,10,4,46.7434929003,0.0,0.0956854668566,0.0,0.0138287866144,0,0.12121,0,0,0,0,0,0,0,0,0,0
4,Tonight will be the fourth time that these two sides have clashed in European competition and Barcelona have triumphed on each occasion.,6.49pm,12,11,87.9862177486,0.0,0.0,0.088288190407,0.0546837964164,0,0.107145,0,0,0,0,0,0,0,0,0,0
5,"Their first ever clash occurred in the round of 16 during the 2013-14 campaign and it was Barcelona that emerged 4-1 winners on aggregate, which included a 2-1 victory in this stadium after a 2-0 success in Manchester one month previous.© Getty Images",6.49pm,26,18,150.268093703,0.088288190407,0.0138287866144,0.195848896812,0.0700642318098,0,0.156915,0,1,0,0,0,0,0,0,0,0
6,They then locked horns in the quarter-finals of the 2014-15 campaign and Barcelona recorded a 2-1 victory in Manchester before winning 1-0 at home courtesy of a sole strike from Ivan Rakitic.,6.52pm,19,14,103.303929141,0.195848896812,0.0546837964164,0.0730295359872,0.0348392900534,0,0.16556,0,1,0,0,0,0,0,0,0,0
7,"Despite Barcelona's strong form against Man City, they have only beaten the English club by a one-goal margin in both meetings at Camp Nou.",6.52pm,17,10,91.4644879321,0.0730295359872,0.0700642318098,0.020185342591,0.0,1,0.15482,0,0,0,0,0,0,0,0,0,0
8,Could it be third time lucky in this stadium?,6.52pm,6,4,35.4984020275,0.020185342591,0.0348392900534,0.0,0.0,0,0.08,0,0,0,0,0,0,0,0,0,0
9,We shall find out!,6.52pm,3,2,18.3136850642,0.0,0.0,0.0,0.0,0,0.02128,0,0,0,0,0,0,0,0,0,0
10,"Right, let me bring you up-to-speed with the all-important team news.",6.55pm,9,4,40.1626306643,0.0,0.0,0.0253734124012,0.112724455547,0,0.135715,0,0,0,0,0,0,0,0,0,0
11,Has Lionel Messi made the Barcelona XI after returning off the bench at the weekend?,6.55pm,9,7,55.5385648981,0.0253734124012,0.0,0.0435116335176,0.0,0,0.33216,0,0,0,0,0,0,0,0,0,0
12,Is Sergio Aguero back in the Man City team?,6.55pm,7,3,28.7058641128,0.0435116335176,0.112724455547,0.136638821311,0.0,0,0.165005,0,0,0,0,0,0,0,0,0,0
13,Is Guardiola playing one roaming centre-back and nine forwards?,6.55pm,8,2,34.8113267849,0.136638821311,0.0,0.0,0.0,0,0.06383,0,0,0,0,0,0,0,0,0,0
14,Let's have a look shall we...,6.55pm,5,3,22.0791563186,0.0,0.0,0.0,0.0,0,0.05263,0,0,0,0,0,0,0,0,0,0
15,"TEAMS!FCB: Ter Stegen; Mascherano, Pique, Umtiti, Alba; Busquets, Iniesta, Rakitic; Neymar, Suarez, MessiCITY: Bravo; Zabaleta, Stones, Otamendi, Kolarov; Fernandinho, Gundogan; Sterling, Silva, Nolito; De Bruyne",6.58pm,49,0,123.391911117,0.0,0.0,0.0,0.18630784926,0,0.097615,0,0,0,0,0,0,0,0,0,0
16,"Messi, as expected, returns to the Barcelona XI tonight after making his comeback from a groin injury off the bench at the weekend.",7.02pm,15,11,83.5735897989,0.0,0.0,0.0319012835277,0.16503445053,0,0.393255,0,0,0,0,0,0,0,0,0,0
17,"The Argentine joins Luis Suarez and Neymar in the final third, while Ivan Rakitic and Andres Iniesta start in central midfield alongside Sergio Busquets.",7.02pm,19,7,102.446913349,0.0319012835277,0.18630784926,0.0362777109797,0.0130182986235,0,0.150635,0,0,0,0,0,0,0,0,0,0
