,text,time,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,goal,score,won,win,lose,lost,draw,penalty,position,breakthrough,header,offside
0,Good afternoon!,4.30pm,3,0,10.0957511288,0.0,0.0,0.0,0.0,0,0.016665,0,0,0,0,0,0,0,0,0,0
1,"The FA Cup third round is well and truly underway now, and it is the turn of Preston North End and Arsenal next.",4.30pm,15,10,77.938119064,0.0,0.0,0.0470302716034,0.0748829353913,0,0.210785,0,0,0,0,0,0,0,0,0,0
2,"It could be billed as the battle of the Invincibles, with these two clubs the only ones to have gone through an entire top-flight season unbeaten in English football history, but both occasions will seem a long time ago for the respective clubs.",4.30pm,25,21,163.310890558,0.0470302716034,0.0,0.0894137750629,0.0211131921741,0,0.165215,0,0,0,0,0,0,0,0,0,0
3,"Still, it should be an interesting contest between a Championship side seemingly on the up and an Arsenal team struggling for form a little.",4.30pm,13,13,84.7837260382,0.0894137750629,0.0748829353913,0.0845487578895,0.0,0,0.121685,0,0,0,0,0,0,0,0,0,0
4,"First, though, let's take a look at the team news...",4.30pm,11,3,36.9371989041,0.0845487578895,0.0211131921741,0.0,0.0,0,0.116155,0,0,0,0,0,0,0,0,0,0
5,"PRESTON STARTING XI: Maxwell; Vermijl, Clarke, Huntington, Cunningham; Gallagher, Pearson, Johnson; McGeady, Robinson, Hugill",4.32pm,25,0,61.0642741597,0.0,0.0,0.0210682457109,0.152688446893,0,0.052635,0,0,0,0,0,0,0,0,0,0
6,"PRESTON SUBS: Lindegaard, Spurr, Browne, Pringle, Horgan, Doyle, Makienok",4.32pm,16,0,46.5520162419,0.0210682457109,0.0,0.0,0.0990116668962,0,0.019235,0,0,0,0,0,0,0,0,0,0
7,"ARSENAL STARTING XI: Ospina; Maitland-Niles, Mustafi, Gabriel, Monreal; Xhaka, Ramsey, Oxlade-Chamberlain, Iwobi, Lucas; Giroud",4.34pm,25,0,51.8052373643,0.0,0.152688446893,0.0173152257784,0.0,0,0.088355,0,0,0,0,0,0,0,0,0,0
8,"ARSENAL SUBS: Martinez, Jenkinson, Holding, Reine-Adelaide, Dasilva, Willock, Welbeck",4.34pm,16,0,40.8728656429,0.0173152257784,0.0990116668962,0.0,0.0,0,0.025,0,0,0,0,0,0,0,0,0,0
9,"What can we make of those two teams, then?",4.36pm,5,6,36.3806029952,0.0,0.0,0.0136585922106,0.0165027758166,0,0.045455,0,0,0,0,0,0,0,0,0,0
10,"Well, Preston boss Simon Grayson has the luxury of a almost fully-fit squad to choose from, and unsurprisingly he has included his biggest hitters as the hosts look to spring a surprise this evening.",4.36pm,22,15,122.012804921,0.0136585922106,0.0,0.0748516862573,0.0848911421846,0,0.144925,0,0,0,0,0,0,0,0,0,0
11,"The main goal threats will come from Robinson and Hugill up front, both of whom have five league goals for the season to top Preston's scoring charts at the moment.",4.36pm,19,14,106.882246377,0.0748516862573,0.0165027758166,0.139420789972,0.106484152152,1,0.151985,0,0,0,0,0,0,0,0,0,0
