,text,time,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,goal,score,won,win,lose,lost,draw,penalty,position,breakthrough,header,offside
0,Afternoon all!,2.16pm,2,1,8.01596952484,0.0,0.0,0.0,0.0,0,0.02857,0,0,0,0,0,0,0,0,0,0
1,Sports Mole's live La Liga coverage continues from the Mestalla as Valencia welcome the champions Barcelona.,2.16pm,14,4,63.4211200507,0.0,0.0,0.0131134502442,0.0677747110131,0,0.178075,0,0,0,0,0,0,0,0,0,0
2,"It has been a very difficult start to the campaign for Los Che, but they were victorious in Cesare Prandelli's first game in charge last weekend.",2.16pm,16,13,96.8562621206,0.0131134502442,0.0,0.118273985504,0.0398651684816,0,0.156755,0,0,0,0,0,0,0,0,0,0
3,"As for Barcelona, they have already lost twice in the league this term, but three points here would temporarily take them top of the table.",2.16pm,16,12,91.287108413,0.118273985504,0.0677747110131,0.108996730388,0.0976173238087,0,0.153735,0,0,0,1,0,0,0,0,0,0
4,Valencia have actually gone nine league games without a home win over Barcelona - suffering four defeats in the process.,2.19pm,16,5,74.0369384143,0.108996730388,0.0398651684816,0.10515289861,0.0794744138175,0,0.122805,0,1,0,0,0,0,0,0,0,0
5,"In fact, not since March 2008 have Valencia beat Barcelona at the Mestalla and that was a 3-2 victory in the Copa del Rey.",2.19pm,15,11,83.0713984404,0.10515289861,0.0976173238087,0.262877042034,0.0,0,0.2407,0,0,0,0,0,0,0,0,0,0
6,"The pair also met in the Copa del Rey last season, when Barcelona ran out 8-1 aggregate winners over then Gary Neville's team.",2.19pm,19,7,97.2283501196,0.262877042034,0.0794744138175,0.165158251972,0.108781837135,0,0.107805,0,1,0,0,0,0,0,0,0,0
7,Sorry Gary!,2.19pm,3,0,10.9863839904,0.165158251972,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
8,"That said, despite a rotten home run against Barcelona, Valencia recorded a 2-1 victory at Camp Nou in the league last season.",2.22pm,18,7,75.706153859,0.0,0.108781837135,0.0474249602713,0.0130801553587,0,0.180885,0,0,0,0,0,0,0,0,0,0
9,"If this match had taken place before the international break, confidence would have been very low with the home side.",2.22pm,12,10,75.8678403832,0.0474249602713,0.0,0.0866483491246,0.0441095726089,0,0.13678,0,0,0,0,0,0,0,0,0,0
10,"However, Prandelli's introduction has certainly lifted the entire club and this could well be a very tricky afternoon for the champions.",2.22pm,15,9,81.0128276634,0.0866483491246,0.0130801553587,0.0121657468816,0.0770781085334,0,0.131425,0,0,0,0,0,0,0,0,0,0
11,"Right, without further ado, let me bring you up-to-speed with the all-important team news.",2.25pm,12,5,56.2372657378,0.0121657468816,0.0441095726089,0.0114228887442,0.10867565743,0,0.10406,0,0,0,0,0,0,0,0,0,0
12,"Valencia have had a free week to prepare for this match, but Barcelona were in Champions League action against Manchester City on Wednesday night, which brought a 4-0 win.",2.25pm,19,13,102.583643141,0.0114228887442,0.0770781085334,0.0387097996783,0.0,0,0.14286,0,1,0,0,0,0,0,0,0,0
13,Let's have a look at the two XIs...© SilverHub,2.25pm,8,4,31.7243284285,0.0387097996783,0.10867565743,0.0,0.0611680922491,0,0.091995,0,0,0,0,0,0,0,0,0,0
14,"TEAMS!VAL: Alves; Montoya, Garay, Mangala, Gaya; Perez, Suarez; Cancelo, Parejo, Nani; RodrigoFCB: Ter Stegen; Roberto, Umtiti, Mascherano, Digne; Gomes, Busquets, Iniesta; Neymar, Suarez, Messi",2.28pm,48,0,111.904785966,0.0,0.0,0.058317737551,0.0855529933376,0,0.081455,0,0,0,0,0,0,0,0,0,0
15,"Valencia boss Prandelli has made two changes to the team that beat Sporting Gijon last weekend, with fit-again Nani taking the place of Santi Mina in a forward area, while Eliaquim Mangala returns to central defence in place of Aderllan Santos.",2.32pm,31,13,162.084505939,0.058317737551,0.0611680922491,0.139994791164,0.192415699798,0,0.15861,0,0,0,0,0,0,0,0,0,0
16,"Mario Suarez, who scored twice against Sporting, continues in midfield alongside Enzo Perez, with Rodrigo once again selected as the lone forward.",2.32pm,18,8,98.5422996592,0.139994791164,0.0855529933376,0.0310532733671,0.0273126115397,0,0.119865,0,0,0,0,0,0,0,0,0,0
17,"As for Barcelona, Luis Enrique has made three changes to the team that started the 4-0 win over Man City on Wednesday night.",2.35pm,16,9,84.0865416266,0.0310532733671,0.192415699798,0.0458550290201,0.0871753585765,0,0.129575,0,1,0,0,0,0,0,0,0,0
18,"Gerard Pique and Jordi Alba miss out with ankle and hamstring injuries respectively, while Ivan Rakitic has dropped to the bench.",2.35pm,15,8,96.0662929855,0.0458550290201,0.0273126115397,0.055809722883,0.0,0,0.109775,0,0,0,0,0,0,0,0,0,0
19,"In come Sergi Roberto, Lucas Digne and Andre Gomes, but there is no change up top as Lionel Messi, Luis Suarez and Neymar all start.",2.35pm,19,10,104.429500604,0.055809722883,0.0871753585765,0.0789287437981,0.0663563166827,0,0.10606,0,0,0,0,0,0,0,0,0,0
20,So there we have it.,2.38pm,1,5,18.0067671144,0.0789287437981,0.0,0.108164399244,0.0,0,0.02941,0,0,0,0,0,0,0,0,0,0
21,The two teams are in and we are now just about 35 minutes from kickoff on this warm afternoon in Valencia.,2.38pm,9,13,75.3569720781,0.108164399244,0.0663563166827,0.197081865796,0.0857299560905,0,0.11513,0,0,0,0,0,0,0,0,0,0
22,"I shall speak about the home side and their start a little bit more in the build-up to kickoff, but let's start with Barcelona, who will enter this match off the back of a 4-0 win over Man City in the group stage of the Champions League on Wednesday night.© SilverHub",2.38pm,29,25,168.973952772,0.197081865796,0.0,0.127903732588,0.154723167177,0,0.21166,0,1,0,0,0,0,0,0,0,0
23,"It was actually quite a strange and underwhelming performance from Barcelona during the European affair, but a hat-trick from Messi and late Neymar effort saw the home side record a 4-0 win.",2.42pm,21,13,107.170305464,0.127903732588,0.0857299560905,0.0424070491507,0.105612874684,0,0.14776,0,1,0,0,0,0,0,0,0,0
24,"That success followed a 4-0 victory over Deportivo La Coruna in the league last weekend, which kept Enrique's side within touching distance of the top three after eight matches of the campaign.",2.42pm,24,11,123.247055872,0.0424070491507,0.154723167177,0.195560171343,0.124467071908,0,0.15246,0,0,0,0,0,0,0,0,0,0
25,"It seems quite incredible to say at this stage of the campaign, but champions Barcelona are indeed down in fourth position in the La Liga table having won five, drawn one and lost two of their eight league games this season.",2.45pm,26,18,157.306695729,0.195560171343,0.105612874684,0.168314985407,0.14149918582,0,0.214425,1,0,0,1,1,0,1,0,0,0
26,"They are just two points behind the leaders Atletico Madrid, however, and three points this afternoon would take them to the top of the table, for at least the next 24 hours.",2.45pm,22,14,122.524111359,0.168314985407,0.124467071908,0.017457204304,0.1151555616,0,0.291195,0,0,0,0,0,0,0,0,0,0
27,"Barcelona have actually scored 27 times in their last seven league games away from home – recording six wins in the process, which is some record.",2.48pm,19,9,101.871567783,0.017457204304,0.14149918582,0.152018498349,0.0369740192222,0,0.12121,0,1,0,0,0,0,0,0,0,0
28,"That said, a total of 16 points from their opening eight league games represents their worst start to a season since the 2005-06 campaign.",2.48pm,17,9,84.1638082573,0.152018498349,0.1151555616,0.1605556053,0.119219528657,0,0.107145,0,0,0,0,0,0,0,0,0,0
29,It would be fair to say that the champions are still waiting to find their rhythm this season.© SilverHub,2.48pm,10,9,68.606657743,0.1605556053,0.0369740192222,0.0910641119754,0.0297490277518,0,0.109375,0,0,0,0,0,0,0,0,0,0
