,sentences,pos,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,century,out,bold,caught,stumped,wicket,hattrick,catch,six,four,amazing,hundred,ton,boundary,drop,toss,won,lost,score
0,"So, Pakistan have flexed their muscle and sent out a strong message to the rest of the competition.",838,10,10,77.5496430338,0.0,0.0,0.0255530244384,0.0256400918304,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144045
1,It is India lined up next for them and what a cracker that will be on the 19th.,837,6,13,75.3518721582,0.0255530244384,0.0,0.0379592524914,0.0426960343109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11845
2,"However, there's plenty of action before that.",836,6,4,36.5011608953,0.0379592524914,0.0256400918304,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105265
3,"Right as I type, the toss is about to take place in Mumbai where England take on West Indies.",835,12,9,88.7389379644,0.0,0.0426960343109,0.0238625008121,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10965
4,Over to the other tab.,834,2,4,20.4795382591,0.0238625008121,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11859
5,"See you!Mortaza: "" .",833,6,1,15.3906643509,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05263
6,is always difficult.,832,3,1,16.4479352994,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,After six overs it became almost impossible.,831,6,2,37.0843242015,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.042555
8,Shakib batted really well and we got  .,830,6,2,32.0633939531,0.0,0.0,0.0,0.0909138141093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
9,", so not so bad.",829,3,3,20.3859530165,0.0,0.0,0.0,0.19522299382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333
10,"Looking ahead, we need to bowl better and make more use of the first six overs with the bat.",828,13,8,87.0010159651,0.0,0.0909138141093,0.15000684617,0.0980713898449,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.165255
11,Bengaluru wicket is flat so the bowlers need to come up with plans.,827,8,6,59.836698006,0.15000684617,0.19522299382,0.0332538844083,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.095075
12,"Mustafizur is getting better, hopefully he'll be back.",826,8,3,39.7549348893,0.0332538844083,0.0980713898449,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088235
13,"""Afridi: ""My performance always plays a key role but I haven't done well recently.",825,14,5,66.0497045523,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11395
14,It's a big event and I should take responsibility as captain and senior player.,824,9,7,60.0425206394,0.0,0.0,0.0209825303395,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088235
15,Spoke with the coach regarding the batting order today and he was happy with me promoting myself.,823,9,9,85.8332475733,0.0209825303395,0.0,0.0,0.148764852902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17831
16,"From last two-three series, our batsmen have struggled to find runs.",822,9,4,50.6575061494,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063825
17,But today they did well.,821,3,3,23.834053285,0.0,0.148764852902,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111
18,Likes of Mohammad Hafeez and Ahmed Shehzad.,820,6,2,27.5772011175,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14216
19,Openers play a very important role.,819,5,2,30.2959987779,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051285
20,Sharjeel is a good attacking cricketer too.,818,5,3,30.8716651855,0.0,0.0,0.0,0.0790234629771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082625
21,"If he gets going, he can score 60 runs in the first six overs.",817,10,6,64.1184084207,0.0,0.0,0.0,0.0331692316833,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.18713
22,"I expect good things from him, especially on these pitches which are heaven for batsmen.",816,9,8,72.8499185136,0.0,0.0790234629771,0.0,0.0736736022022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06
23,We don't want to live in past.,815,5,4,33.546776835,0.0,0.0331692316833,0.00979431013598,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083335
24,"Need to play good cricket against India, and learn from our previous mistakes against them.",814,10,7,76.7851361837,0.00979431013598,0.0736736022022,0.103172093992,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061225
