,sentences,pos,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,century,out,bold,caught,stumped,wicket,hattrick,catch,six,four,amazing,hundred,ton,boundary,drop,toss,won,lost,score
0,That nearly wraps things up.,674,4,2,25.8527672583,0.0,0.0,0.1043881793,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076925
1,Australia have notched up the win and they should hope that it's only upwards from here.,673,7,11,71.1145381636,0.1043881793,0.0,0.025847136647,0.139603446961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16351
2,"Geographically, at least, it is.",672,5,3,22.0517001387,0.025847136647,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365075
3,They travel to Mohali where they will face Pakistan on the 25th.,671,6,7,56.4163717871,0.0,0.139603446961,0.0401009051071,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09091
4,"While on the other hand, Bangladesh have disappointed in the tournament so far.",670,7,8,56.5017518165,0.0401009051071,0.0,0.0,0.0975872132357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186365
5,Big things were expected of them.,669,4,3,31.8253273469,0.0,0.0,0.0,0.0254731374286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09091
6,But then their team has been hit with one jolt after other as unrest has prevailed.,668,7,10,79.4105919945,0.0,0.0975872132357,0.0651118412295,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066665
7,"First the suspension of Taskin and Sunny, and then Tamim reporting sick today.",667,10,5,63.0299440134,0.0651118412295,0.0254731374286,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106385
8,Got to feel for them.,666,3,3,22.2326629926,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09091
9,"Anyway, that's it from us.",665,5,3,21.6962454511,0.0,0.0,0.0426603585448,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17647
10,"Until tomorrow, it's goodbye.",664,5,2,22.0557416191,0.0426603585448,0.0,0.0,0.0417936849703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22619
11,"Cheers!Mortaza: ""We knew the first six overs will be crucial.",663,11,4,55.7831540618,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.105265
12,It's a big scoring ground.,662,5,2,20.2433628627,0.0,0.0417936849703,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353845
13,Fielding and bowling could have been better.,661,5,3,35.1110436864,0.0,0.0,0.043476093715,0.0758535616244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09091
14,Mahmudullah played well and also Mithun and Shakib.,660,7,2,31.2947802856,0.043476093715,0.0,0.0539646126847,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083335
15,It's two losses in a row but we have two matches and need to play hard and see what happens.,659,12,10,86.1383966005,0.0539646126847,0.0758535616244,0.100789640457,0.0462704296784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167855
16,"""Smith: ""We made it difficult for ourselves in the end.",658,8,6,43.0521695371,0.100789640457,0.0,0.0502153965276,0.0358036782109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16409
