,sentences,pos,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,century,out,bold,caught,stumped,wicket,hattrick,catch,six,four,amazing,hundred,ton,boundary,drop,toss,won,lost,score
0,An exhilarating game of cricket where bowlers were rendered irrelevant.,839,7,4,55.0269996125,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096775
1,More like a slaughterhouse at the Wankhede.,838,4,4,28.6310708158,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140905
2,Massive scores.,837,3,0,14.0828889588,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04762
3,Around  .,836,2,0,4.73885938642,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,runs scored.,835,3,0,10.3940095047,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095235
5,Phew!,834,2,0,7.04144447941,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,"England have bounced back stunningly from their defeat against West Indies, and they had to.",833,9,8,68.9164369638,0.0,0.0,0.106004614721,0.0604597445745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
7,"South Africa, well, they were just shadowed by England's batting muscle.",832,11,4,53.4901620312,0.106004614721,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15242
8,So that's it from this one.,831,3,5,21.9582690855,0.0,0.0604597445745,0.0241350329466,0.0652445641378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105265
9,It's time to sign off while wondering whether we'll see a day where bowling machines will replace bowlers in the shortest form.,830,15,10,107.172973837,0.0241350329466,0.0,0.0101525358045,0.152246324019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.117415
10,Goodbye!Here are some of the reactions on social media to that run-fest:Aakash Chopra - Batting won.,829,12,9,80.5609138125,0.0101525358045,0.0652445641378,0.0,0.0363316380736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.123165
11,Bowling lost.,828,3,0,11.1925172009,0.0,0.152246324019,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
12,#ENG #SA #WT20Roshan Abeysinghe - The world talks of the AB's and the Kohlis!,827,14,5,61.2869589621,0.0,0.0363316380736,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174965
13,But what about Root?,826,2,3,17.6462351718,0.0,0.0,0.0,0.216220244286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625
14,Very little mention doesnt make him any lesser player!,825,7,3,54.6843569464,0.0,0.0,0.0,0.048818017663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030305
15,What a knock todayStuart Broad - .,824,5,2,25.745409789,0.0,0.216220244286,0.0761810725492,0.0482636493075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
16,@root66 is my main hero but @JasonRoy20 runs him close (pardon the pun) what a way to set the tone for a big run chase!,823,19,11,114.216065016,0.0761810725492,0.048818017663,0.119842152153,0.0698660641759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.11628
17,So happy #WT20Harbhajan Singh- What a game End vs SA..well done @ECB_cricket for th record chase..one of those day when you don't want to be a bowlerBrian Lara - I'm proud to see a top class TEST BATSMAN @root66 play the most outstansing innings of the #ICCWT20 leading ENG to an impropable win.,822,39,21,240.706692276,0.119842152153,0.0482636493075,0.0442628478052,0.0587711357869,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120775
18,#classAnil Kumble - What a thriller that was!!,821,7,4,33.4007321231,0.0442628478052,0.0698660641759,0.057079356437,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083335
19,@root66's knock was as entertaining as it could get!,820,8,4,42.7324999613,0.057079356437,0.0587711357869,0.0818922106502,0.0628000258151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
