,sentences,pos,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,century,out,bold,caught,stumped,wicket,hattrick,catch,six,four,amazing,hundred,ton,boundary,drop,toss,won,lost,score
0,"Shahzad thrilled, raised hopes, but couldn't prolong his knock enough.",865,12,2,58.5659173302,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085715
1,He had to be the one with a quick  .,864,3,7,30.0367549526,0.0,0.0,0.0,0.14932365058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121215
2,0.,863,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,But Morris proved to be too good for him.,862,4,6,38.1676906363,0.0,0.14932365058,0.0,0.0152690409668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093745
4,"And one can argue, that was the match.",861,5,5,33.358731471,0.0,0.0,0.0,0.0141620940406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
5,"Anyway, there's a lot to take from Afghanistan's performance.",860,9,4,39.3437930226,0.0,0.0152690409668,0.011695581774,0.0980233744057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17143
6,The way they've grown has been so heartening to see.,859,6,6,47.6216274218,0.011695581774,0.0141620940406,0.0612945067221,0.105990160228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115385
7,And we can only imagine the leaps they can take with more and more exposure.,858,5,11,70.1001215302,0.0612945067221,0.0980233744057,0.146763654062,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
8,"South Africa have hung on to an important win here to keep things in their hands, but they aren't looking the invincible side they can be.",857,14,15,121.880799625,0.146763654062,0.105990160228,0.0,0.0396381049658,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160175
9,That's it from us for this game.,856,4,5,29.0103589552,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111
10,"Meanwhile, the battle lines have been drawn at the Chinnaswamy where Gayle is fantasising.",855,9,7,74.5053939245,0.0,0.0396381049658,0.10825839565,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08108
11,Foaming at the mouth to have a bat on his adopted home ground.,854,7,7,56.1897383232,0.10825839565,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135135
12,I'm not betting against him.,853,3,4,22.0649909168,0.0,0.0,0.108850857181,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,Live visuals show him doing some pushups.,852,5,3,45.0724257747,0.108850857181,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045455
14,Switch to the other tab for more of his theatrics.,851,4,7,45.4092182972,0.0,0.0,0.0201146571173,0.0383199614637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22153
15,This is Sagar Chawla bidding goodbye on behalf of our scorer Mani and co-commentator Akshay Maanay.,850,11,6,84.286065964,0.0201146571173,0.0,0.0,0.0340635951608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072725
16,"(*Rushes to the stadium*)Stanikzai: ""The total was too high.",849,10,5,31.0614651958,0.0,0.0383199614637,0.0400604241183,0.0225876233966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11765
