,sentences,pos,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,century,out,bold,caught,stumped,wicket,hattrick,catch,six,four,amazing,hundred,ton,boundary,drop,toss,won,lost,score
0,Amazing how he relishes pressure situations and brings out the best.,1065,7,5,55.3064706569,0.0,0.0,0.0261791171182,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.098995
1,"Anyway, India have registered their first victory of the tournament and the dressing room will be a little more relaxed now.",1064,12,11,96.0230590046,0.0261791171182,0.0,0.0,0.0195708894475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158335
2,So that's it from this game then.,1063,3,6,27.1961975566,0.0,0.0,0.0,0.0488366513397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625
3,Hope you enjoyed the coverage.,1062,4,2,28.0062608006,0.0,0.0195708894475,0.0138485209492,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083335
4,The action continues tomorrow and it's a double-header.,1061,6,4,27.8160533044,0.0138485209492,0.0488366513397,0.034017347929,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114285
5,"First up, it's South Africa v Afghanistan in Mumbai and then Sri Lanka v West Indies in Bangalore.",1060,15,6,87.9236793352,0.034017347929,0.0,0.0767606383629,0.0521281801841,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112745
6,Looking forward to your company then.,1059,4,3,30.7412979003,0.0767606383629,0.0,0.011222163419,0.0108968959726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
7,"Good night, goodbye!It was pretty gloomy out there in the evening and dark clouds threatened to play spoilsport.",1058,14,8,96.6593284763,0.011222163419,0.0521281801841,0.0190504802718,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151315
8,"However, the rain gods were kind enough to allow us an 18-over contest and India picked up a much needed win.",1057,16,7,97.1720715997,0.0190504802718,0.0108968959726,0.0,0.0135154433757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104165
9,"6 matches, 6 inninngs, 3 not-outs,  .",1056,10,0,13.8657709609,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625
10,"runs, a best of 78*, and average of  .",1055,7,4,25.6937062907,0.0,0.0135154433757,0.183324269647,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252745
11,6 and a strike-rate of  .,1054,3,3,5.21164591501,0.183324269647,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117645
12,9.,1053,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,This is Virat Kohli's record against Pakistan in T20Is.,1052,7,4,39.3430216347,0.0,0.0,0.0778330364041,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36029
14,"Now hang on, read this.",1051,4,3,25.2352154281,0.0778330364041,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625
15,"3 matches, 3 not-outs,  .",1050,7,0,6.58631189018,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07143
