,sentences,pos,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,century,out,bold,caught,stumped,wicket,hattrick,catch,six,four,amazing,hundred,ton,boundary,drop,toss,won,lost,score
0,So that's it from the Trans-Tasman clash then.,888,4,6,27.4609843569,0.0,0.0,0.0347206258828,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
1,"It was a wonderful game of cricket, where both sides had a chance right till the end.",887,10,9,73.8861863033,0.0347206258828,0.0,0.0994558685155,0.0754390928097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.136675
2,We have another game coming up.,886,4,3,29.6282063231,0.0994558685155,0.0,0.0692418644628,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
3,It's a cracker as we move from the cold of Dharamsala to the heat of Mumbai.,885,8,10,64.4830408617,0.0692418644628,0.0754390928097,0.00889449052617,0.0326371572354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135135
4,South Africa and England are waiting to entertain us.,884,7,3,48.1292780511,0.00889449052617,0.0,0.0116632870483,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071425
5,Hop tabs to catch all the action.,883,5,3,35.0367914772,0.0116632870483,0.0326371572354,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.15
6,"Goodbye!Smith: ""I thought  .",882,7,1,18.3238083809,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031245
7,was about par.,881,2,2,15.5854528303,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083335
8,Their spinners bowled well and we didn't respond well.,880,7,4,44.5062282738,0.0,0.0,0.0511363012461,0.223306893001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10395
9,"We lost wickets in clumps, which you can't do in T20 cricket.",879,9,6,58.261018807,0.0511363012461,0.0,0.0700380488102,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.186365
10,We didn't apply ourselves.,878,3,3,23.9379498324,0.0700380488102,0.223306893001,0.0,0.11497728798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09007
11,Probably should have got the ones and twos.,877,5,4,38.6078122684,0.0,0.0,0.123123495707,0.148929741774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15347
12,We've got to move on from this.,876,4,5,26.1834363084,0.123123495707,0.11497728798,0.558892755205,0.10329069975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10345
13,"We've got the talent, but we've got a lot of work to do.",875,9,8,50.4365215479,0.558892755205,0.148929741774,0.101257905098,0.0882836242864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17316
14,We need to find a way to have some success in those middle overs.,874,7,8,61.3334201757,0.101257905098,0.10329069975,0.0627735261734,0.0701671452914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148895
15,"""Williamson: ""We were fortunate to get two wickets which were similar.",873,10,5,55.5978759822,0.0627735261734,0.0882836242864,0.248721683736,0.00973399805811,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.121215
16,We adopted similar tactics.,872,4,1,24.9187790854,0.248721683736,0.0701671452914,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,It was a pretty tough total to chase on this track.,871,6,6,45.4695829968,0.0,0.00973399805811,0.0318308548211,0.0438689810941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131255
18,I think it's important to try and read the conditions and then select the side accordingly.,870,10,8,68.1413212428,0.0318308548211,0.0,0.135708022399,0.0417346965595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17763
19,"Now it is important that we gel well as a group, it's a small transition period.",869,10,9,70.523902557,0.135708022399,0.0438689810941,0.150227903579,0.0379714634041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08889
20,We need to look at the task at hand and perform as best as we can.,868,7,10,71.2557114461,0.150227903579,0.0417346965595,0.00762756826363,0.243670524574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128205
21,It's about commitment when you are trying to defend low scores.,867,7,6,56.5286622507,0.00762756826363,0.0379714634041,0.0,0.032110970148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10811
22,We take one game at a time and move on.,866,6,5,37.8478797928,0.0,0.243670524574,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129035
23,"""McClenaghan: ""It is nice to perform like that, but the effort was collective.",865,11,7,56.2578472785,0.0,0.032110970148,0.0186756366407,0.0150558965436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178055
24,The spinners bowled well.,864,4,1,17.9322233728,0.0186756366407,0.0,0.0268388889172,0.0151688981566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
