,sentences,pos,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,century,out,bold,caught,stumped,wicket,hattrick,catch,six,four,amazing,hundred,ton,boundary,drop,toss,won,lost,score
0,"Whoa, startling words coming through from Afridi.",810,7,2,38.7123320413,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083335
1,"With all that going on around him, he looks a tired man and has admitted that he is contemplating hanging his boots after the tournament.",809,12,15,110.339428504,0.0,0.0,0.0591433434741,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149885
2,"Well, I think there are a few twists and turns still left in that saga.",808,9,8,64.5099884767,0.0591433434741,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085715
3,Let's see what happens.,807,5,1,24.5754250926,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05882
4,"Anyway, New Zealand's splendid surge continues.",806,9,0,35.131364179,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19111
5,"Boy, haven't they taken this World T20 by storm!",805,8,4,48.8157735012,0.0,0.0,0.0502851473746,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074075
6,"The best thing is that apart from being widely adulated for their aggressive brand, they also WIN matches of cricket.",804,13,9,104.293339178,0.0502851473746,0.0,0.0,0.0834335139289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12766
7,It's been so much fun to watch them in action.,803,6,6,47.3452999766,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163705
8,That's all we have for today.,802,3,5,25.9208317584,0.0,0.0834335139289,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103445
9,This is Sagar Chawla signing off on behalf of my co-commentator Akshay Maanay and scorer Mani.,801,10,7,79.1401621655,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068965
10,"Ta-ta!Afridi: ""First I want to congratulate NZ.",800,10,2,29.521108253,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
11,One point it looked like they might touch  .,799,7,2,39.1468764774,0.0,0.0,0.0317607046759,0.384441210326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086955
12,but our bowlers pulled it back.,798,4,3,26.9957987432,0.0317607046759,0.0,0.0348023426254,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111
13,It looked like a chaseable total.,797,5,2,27.8122152701,0.0348023426254,0.384441210326,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095235
14,We didn't play well after first six overs.,796,7,3,40.5431200927,0.0,0.0,0.0,0.346572802527,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.114075
15,Played a lot of dot balls.,795,5,2,27.459262813,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123165
16,Shehzad and Sharjeel started well but we couldn't play well against the spinners.,794,10,5,59.1118674389,0.0,0.346572802527,0.0755921211641,0.111222858796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088235
17,We keep repeating mistakes and in this format you can't do that.,793,7,7,54.748528433,0.0755921211641,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085715
18,It might be the last game of my career against Australia.,792,6,6,52.5073854068,0.0,0.111222858796,0.0,0.0446109162852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15385
19,Let's see how things go.,791,6,1,30.8196382001,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555
20,"""Williamson: ""It was a very good surface and off the back of Guptill's superior knocks, the batters played their roles nicely to get a very good score.",790,20,13,108.032810532,0.0,0.0446109162852,0.117353964878,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201665
21,And then the bowlers kept their composure after a tough start to pull it back.,789,8,8,62.1252904818,0.117353964878,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185185
22,.,788,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,we felt was above par.,787,3,3,29.310634685,0.0,0.0,0.0,0.0675156189717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
24,It's a good score on any ground.,786,5,4,26.2127814405,0.0,0.0,0.019902954596,0.139776953893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11765
25,We knew the first six overs will be key and they played very well in that phase but credit to the bowlers to pull it back.,785,13,14,110.15461221,0.019902954596,0.0675156189717,0.0874050157353,0.0504327111095,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.19426
26,The way the guys adjusted on a different surface again was very good.,784,7,7,54.8321960204,0.0874050157353,0.139776953893,0.0754115086311,0.0594901619627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14286
27,Every game has been tough and again today we were put under a lot of pressure by Pakistan.,783,9,10,84.8457698772,0.0754115086311,0.0504327111095,0.0180251719656,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333
28,They're a good bunch of lads [talking about his team] which is important.,782,10,7,60.7542100108,0.0180251719656,0.0594901619627,0.0306573137595,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09756
29,T20 cricket is very fickle in it's nature.,781,6,4,38.3700916182,0.0306573137595,0.0,0.0,0.0391112093643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10345
30,Hopefully we can continue to do so.,780,3,5,34.4288440064,0.0,0.0,0.0140270159313,0.0165336333912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064515
31,Our strength is to adapt on varying conditions.,779,5,4,40.0291997782,0.0140270159313,0.0391112093643,0.0148094248749,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10238
32,Still a lot of tough cricket to come.,778,6,3,32.4897848534,0.0148094248749,0.0165336333912,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
33,"""Guptill: ""Just a precautionary measure [him staying off the field].",777,11,5,43.9590092729,0.0,0.0,0.00910986468481,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09091
34,We found early that the wicket was a bit better than what we have played on so far.,776,8,11,80.7776814789,0.00910986468481,0.0,0.219471645188,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.192855
35,So we went through with our shots.,775,3,5,36.4444325063,0.219471645188,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037035
36,Bowlers came out and did their job well.,774,5,4,39.5253772997,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107145
37,I try to keep playing the same way.,773,5,4,32.2806718851,0.0,0.0,0.0,0.0127816159489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145605
38,Can't change my game.,772,5,1,16.8759247524,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04348
39,Certain times you do need to adapt but I back myself.,771,6,6,52.372539942,0.0,0.0127816159489,0.0,0.00875684547112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060605
40,New ball comes on a bit more so it's easier.,770,7,5,39.143467828,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142855
41,We are playing good cricket at this stage and hope to keep doing the same.,769,7,9,70.1365382903,0.0,0.00875684547112,0.0159227166648,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163705
42,"""Guptill is Man of the MatchTwo things startled - Mohali's overwhelming attendance and Pakistan's (almost) intact spine in a chase.",768,20,6,89.4084274402,0.0159227166648,0.0,0.0,0.0944209659908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22201
