,sentences,pos,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,century,out,bold,caught,stumped,wicket,hattrick,catch,six,four,amazing,hundred,ton,boundary,drop,toss,won,lost,score
0,Can't say it was all about the one-way traffic.,760,6,5,31.5201580602,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10395
1,Hardly ever is anywhere in India.,759,5,2,31.6563408023,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076925
2,Two hard-fought wins.,758,4,0,11.6883741729,0.0,0.0,0.10214384306,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125
3,Two games that threatened to run down to the wire but then turned bland just when they shouldn't have.,757,9,12,86.0112595583,0.10214384306,0.0,0.0172722528073,0.0377164437589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105265
4,"Nagpur cradled the WT20 well on a typical low, slow pitch and now it's time to venture higher altitudes.",756,15,7,86.872496596,0.0172722528073,0.0,0.0248606890388,0.0179964234111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111
5,To the picturesque Dharamsala.,755,3,2,17.2124333923,0.0248606890388,0.0377164437589,0.0107674009699,0.0187519123625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11765
6,A jaded Bangladesh will take on Netherlands while Oman will attempt to put up a challenge against a more celebrated Ireland.,754,11,11,100.309592373,0.0107674009699,0.0179964234111,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14674
7,Join us for the double-header again.,753,4,3,23.0282616142,0.0,0.0187519123625,0.178168826879,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140905
8,"Good night and ta-ta.Stanikzai: ""The start for us was very well.",752,9,5,42.149127005,0.178168826879,0.0,0.16499408338,0.119906107818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14759
9,Had a very good partnership with Shahzad.,751,4,4,28.1527482939,0.16499408338,0.0,0.088118506284,0.186417553528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12
10,The total was good because the ground is big and the pitch a touch slow.,750,8,8,57.405170585,0.088118506284,0.119906107818,0.128811940547,0.081545258237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13158
11,Runs looked good.,749,4,0,13.7830571834,0.128811940547,0.186417553528,0.0,0.197777900776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058825
12,First game of the tournament is very important.,748,5,4,35.5100895312,0.0,0.081545258237,0.0,0.0546956855401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14787
13,Good start for our team.,747,4,2,24.4663878452,0.0,0.197777900776,0.290858672148,0.216258473375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
14,Our gameplan is to bowl good line and length for the fist 10 overs.,746,9,6,62.0968310115,0.290858672148,0.0546956855401,0.160848982931,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140485
15,Our fielding was very good and getting the ball out of the inner circle was tough.,745,8,9,69.63730661,0.160848982931,0.216258473375,0.0,0.0220676033812,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191665
16,"""Preston Mommsen: ""One that got away.",744,9,1,27.220545408,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.06209
17,Unfortunately we couldn't get over the line.,743,6,3,32.2733833647,0.0,0.0220676033812,0.0,0.12839293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09524
18,Lost wickets at crucial times.,742,5,1,29.5315113246,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.064515
19,We should have got to the total after that brilliant start.,741,5,7,49.2651053107,0.0,0.12839293,0.133244109031,0.24415368252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13793
20,We couldn't put the foot on the accelerator.,740,6,4,34.7386803152,0.133244109031,0.0,0.0728888142695,0.206764970915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29574
21,I think we should have kept them 15 runs down; would have been a better reflection of our efforts.,739,10,11,89.8345351993,0.0728888142695,0.24415368252,0.191343936075,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555
22,We have to address the middle overs where we absolutely lost it.,738,6,7,54.8306858266,0.191343936075,0.206764970915,0.0,0.0170793547041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12
