,sentences,pos,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,century,out,bold,caught,stumped,wicket,hattrick,catch,six,four,amazing,hundred,ton,boundary,drop,toss,won,lost,score
0,It's been a clinical performance from Sydney Thunder today.,460,7,4,37.6891398864,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205555
1,"Having put a good looking total on the board, their bowlers came charging at the Sixers and never allowed easy runs.",459,15,8,89.561957743,0.0,0.0,0.0728433567551,0.102583960796,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.17198
2,The pressure of mounting run-rate eventually got the better of the Sixers who perished while trying to up the ante.,458,11,10,80.2938114264,0.0728433567551,0.0,0.0528419208355,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.17021
3,"Russel was phenomenal in the beginning and bowled in the right areas, he was amply supported by bowlers from the other end.",457,12,12,90.9684437609,0.0528419208355,0.102583960796,0.0666479555818,0.0255322978684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202635
4,Shane Watson proved that he still has it in him and selectors cannot ignore him.,456,7,10,71.1542823434,0.0666479555818,0.0,0.0,0.0691455032798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26563
5,"The hosts had a forgettable season last time around but having started this one on a winning note, they would like to go the distance.",455,16,11,104.478874588,0.0,0.0255322978684,0.0,0.0288563529077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173915
6,That's it from us today.,454,4,3,19.0431994778,0.0,0.0691455032798,0.207122693866,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166665
7,Don't forget to join us tomorrow for the second game of the  .,453,8,6,50.0288048742,0.207122693866,0.0288563529077,0.0,0.0511282786603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158335
8,6 BBL.,452,3,0,5.74927052996,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022225
9,"Bye, take care!Hussey (Man of the Match): 'Yeah we are having a balance in the squad and there is variety in the team.",451,17,13,90.9701531445,0.0,0.0511282786603,0.238007082553,0.141007938986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190155
10,We are lucky to have so many all-rounders in the team.,450,5,7,43.4011948566,0.238007082553,0.0,0.169752158417,0.00764652830871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18573
11,It's tough work and we are determined to do the job.,449,6,7,46.4571943764,0.169752158417,0.141007938986,0.00829673080091,0.143113468835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21157
12,One end played quite well but the other end was on a bit slower side.,448,10,6,55.58351157,0.00829673080091,0.00764652830871,0.0188790218496,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111115
13,We looked to capitalise on that and it came good for us.',447,7,7,42.0021132058,0.0188790218496,0.143113468835,0.0,0.0165491654084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17647
14,.,446,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,"McKay to Bollinger, out Caught by Kallis!!",445,7,3,23.9328787215,0.0,0.0165491654084,0.0774852257391,0.656158369057,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052635
16,"It's all over for the Sixers, fuller length on the middle and leg stump, Bollinger goes for the mighty heave, does not get hold of it and it hangs high in the air, Kallis at deep mid-wicket is ready for the dolly and settles under it.",444,27,25,163.688388482,0.0774852257391,0.0,0.118089213509,0.0403884667278,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.156535
17,Bollinger c Kallis b McKay  .,443,6,0,10.5822871205,0.118089213509,0.656158369057,0.469547142695,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03846
18,"0) [6s-1]McKay to Bollinger, THAT'S OUT!!",442,11,3,15.1711372759,0.469547142695,0.0403884667278,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074995
19,Caught!!,441,3,0,4.19112591192,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
