,time,text
0,11.01am,"Morning all! Sports Mole's live La Liga coverage continues from Pamplona as basement side Osasuna welcome the Spanish champions Barcelona, who have drawn their last three league games. Osasuna are in danger of being cut adrift at the bottom of La Liga, but they can expect no favours from a Barcelona team that need all three points to keep pace with leaders Real Madrid. Should be a good game!"
1,11.04am,"Osasuna have only won one of their last 10 league games against Barcelona – suffering seven defeats in the process and failing to score in six of those fixtures. Last season, Barcelona thumped Osasuna 7-0 at Camp Nou, but the points were actually shared in this stadium. Osasuna's last success over the Catalan side also came in this particular ground – a 3-2 victory in February 2012."
2,11.07am,"Right, let me bring you up-to-speed with the all-important team news from Pamplona. Osasuna have had a free week to prepare for this match, but Barcelona were in Champions League action at home to Borussia Monchengladbach on Wednesday night. Let's have a look at the two teams..."
3,11.10am,"TEAMS!OSASUNA: Perez; Oier, Flano, Marquez, Clerc; Alex, Causic, Torres, De las Cuevas; Riera, LeonBARCA: Ter Stegen; Roberto, Umtiti, Pique, Alba; Busquets, Gomes, Iniesta; Turan, Suarez, Messi"
4,11.13am,"Osasuna boss Joaquin Caparros has made two changes to the team that lost 3-1 at Sporting Gijon last weekend, with Sergio Leon and Alex Berenguer taking the places of Kenan and Imanol Garcia. Four of Osasuna's 13 league goals this season have been scored by Sergio Leon and the 27-year-old continues in the final third alongside Oriol Riera, leaving former Newcastle striker Emmanuel Riviere on the bench."
5,11.16am,"As for Barcelona, all of the big guns have returned after being rested in the Champions League during the week. Sergi Roberto, Gerard Pique and Jordi Alba have all returned to the back four, while Luis Suarez replaces Paco Alcacer at centre-forward. Neymar is suspended, however, which has allowed Arda Turan, who scored a hat-trick against Gladbach, to keep his spot in the final third.© SilverHub"
6,11.19am,"So there we have it. The two teams are in and we are now just about 40 minutes from kickoff on this mild afternoon in Pamplona. I shall talk about the home side and their struggles a little bit later, but let's first focus on Barcelona. Luis Enrique's side will enter this match in second spot in La Liga – six points behind the league leaders Real Madrid following El Clasico at Camp Nou last weekend."
7,11.22am,"It did appear that Barcelona would move to within three points of Real Madrid last weekend when they led into the latter stages of El Clasico, but Sergio Ramos had other ideas as the centre-back equalised for Los Blancos late on. As a result, Barcelona have now shared the points in each of their last three in Spain's top flight – including a 1-1 draw in their last away game at Real Sociedad."
8,11.25am,"Barcelona are actually only one point ahead of third-place Sevilla and just three points clear of fourth-place Atletico Madrid, which is an indication of just how important this match is for the champions. After taking on Osasuna, they will welcome Espanyol on December 18 in what will be their final match before the winter break, which lasts in La Liga until the weekend of January 7.© SilverHub"
9,11.28am,"Lionel Messi loves playing against most teams, but the Argentine's record against Osasuna is quite sensational. Indeed, he has netted 15 goals in his last eight appearances against this particular opposition – four of which have come in this very stadium. I fancy him to add to that total today!"
10,11.32am,"Barcelona were back to winning ways in the Champions League on Wednesday night, however, with Turan netting a treble in a 4-0 victory over Gladbach. It was a much-changed XI that overcame the German outfit, but all of the big guns are back this afternoon and only three points will do if they have serious ambitions of catching a very impressive and indeed unbeaten Real Madrid side at the summit."
11,11.35am,"As for Osasuna, they dropped out of La Liga at the end of the 2013-14 campaign after finishing in 18th position and actually finished 18th in the Segunda Division - Spain's second tier - in 2014-15, which was a very difficult period for the club. They came through the Segunda playoffs last season after finishing sixth in the table, however, to secure a return to the top flight of Spanish football.© Getty Images"
12,11.38am,"It has been a very difficult opening 14 games to the season, however, with Osasuna only collecting seven points. Indeed, they have recorded just one win and lost nine times in the process. Meanwhile, Caparros's side will enter this match off the back of four successive league defeats, which has included losses to relegation rivals Granada and Sporting Gijon in their last two fixtures."
13,11.42am,"Whether or not Osasuna can survive this season is not going to depend on their results against the likes of Barcelona, but they will travel to Deportivo La Coruna next weekend, before taking on Valencia and Granada in their two games after the international break. Somewhere along the line things need to change if they have serious ambitions of moving out of the bottom three."
