,time,text
0,6.46pm,Evening all! Sports Mole's live La Liga coverage continues from the newly-named Estadio de la Ceramica and it is a real cracker of an affair as an exciting Villarreal team welcome the Spanish champions Barcelona. Both of these sides are in need of the points as they chase their own goals this season and that should make for an enthralling game of football. Be sure to stay tuned for the action!
1,6.49pm,"Tonight will be the 20th meeting between these two teams in all competitions. Villarreal have recorded five wins against Barcelona, but the last of those was way back in October 2007, when they ran out 3-1 victors in this very stadium. Since then, they have faced Barcelona on eight occasions and suffered six defeats, which will be a worry for the Yellow Submarine ahead of the match."
2,6.52pm,"Barcelona have won on six of their last seven visits to this stadium, but the points were shared in a 2-2 draw when they clashed in the league last season. Villarreal's home form this term is among the best in the division, but no team in La Liga has collected more away points than Barcelona this season."
3,6.55pm,"It has just been announced that Villarreal's stadium will no longer be known as El Madrigal. The name has been changed to the Estadio de la Ceramica and there is currently a press conference taking place detailing the reasons for the change. Part of the club's official statement reads: ""The Ceramic Tile Stadium is a symbol that represents and identifies the province of Castellon, becoming a proud ambassador of one of the best products in our region and a showcase of the extraordinary properties of its materials.""¿Recordáis 🤔 cómo era nuestro estadio hace no tanto tiempo? ¡Vaya cambio, groguets 😱! Bienvenidos, al nuevo #EstadioDeLaCerámica 💛💛! pic.twitter.com/LguSX79j7I— Villarreal CF (@VillarrealCF) January 8, 2017 "
4,6.58pm,"Right, without further ado, let me bring you up-to-speed with the all-important team news for tonight's match. Both sides were in Copa del Rey action during the week – Villarreal losing 3-1 at Real Sociedad in the first leg of their last-16 clash and Barcelona suffering a 2-1 loss at Athletic Bilbao."
5,7.02pm,"TEAMS!VILLARREAL: Asenjo; Mario, Musacchio, Ruiz, Costa; Dos Santos, Trigueros, Bruno, Soriano; Sansone, PatoBARCELONA: Ter Stegen; Roberto, Pique, Mascherano, Digne; Iniesta, Busquets, Gomes; Neymar, Suarez, Messi"
6,7.05pm,"Villarreal boss Fran Escriba has recalled Jaume Costa, Bruno and Victor Ruiz to his starting XI tonight, but there are no changes in the final third as Alexandre Pato continues alongside Nicola Sansone, who has six league goals this season, Roberto Soldado remains on the sidelines for the Yellow Submarine, while Cedric Bakambu is on international duty for Congo at the African Cup of Nations."
7,7.08pm,"As for Barcelona, Lucas Digne has been preferred to Jordi Alba at left-back, while Ivan Rakitic has been left out of the squad altogether following an indifferent run of form. Andre Gomes joins Andres Iniesta and Sergio Busquets in the middle of the park, while it is Neymar, Lionel Messi and Luis Suarez in the final third. A strong bench includes Denis Suarez, Arda Turan and Rafinha.© SilverHub"
8,7.12pm,"So there we have it. The two teams are in and we are now just about 30 minutes from kickoff on this mild evening in Villarreal. I shall speak about the home side a little bit later, but let's start with Barcelona, who will enter this match six points behind division leaders Real Madrid after Los Blancos returned to league action with a comfortable 5-0 victory over Granada on Saturday afternoon."
9,7.15pm,"Ten wins, four draws and two defeats have brought Barcelona 34 La Liga points this season. They entered this weekend's fixtures three points behind Real Madrid at the summit, but have since fallen six points behind Zinedine Zidane's side, who are still unbeaten this season. It is no exaggeration so say that defeat here could well end their challenge when considering that Real Madrid would have the chance to move nine points ahead with their game in hand against Valencia."
